State_UT,Year,PhD_Male,PhD_Female,PhD_Total,MPhil_Male,MPhil_Female,MPhil_Total,PG_Male,PG_Female,PG_Total,UG_Male,UG_Female,UG_Total,PG_Diploma_Male,PG_Diploma_Female,PG_Diploma_Total,Diploma_Male,Diploma_Female,Diploma_Total,Certificate_Male,Certificate_Female,Certificate_Total,Integrated_Male,Integrated_Female,Integrated_Total,Grand_Total_Male,Grand_Total_Female,Grand_Total
Karnataka,2021-22,6045.0,5148.0,11193.0,44.0,183.0,227.0,118528.0,142088.0,260616.0,982974.0,923326.0,1906300.0,4862.0,3664.0,8526.0,134943.0,94970.0,229913.0,1847.0,1196.0,3043.0,8761.0,7961.0,16722.0,1258004.0,1178536.0,2436540.0
Karnataka,2020-21,5752.0,5276.0,11028.0,60.0,189.0,249.0,120083.0,159105.0,279188.0,944677.0,924391.0,1869068.0,4112.0,3219.0,7331.0,138523.0,115311.0,253834.0,3120.0,2664.0,5784.0,7274.0,6681.0,13955.0,1223601.0,1216836.0,2440437.0
Karnataka,2019-20,8422.0,6566.0,14988.0,160.0,368.0,528.0,104832.0,134324.0,239156.0,848754.0,865942.0,1714696.0,5429.0,4444.0,9873.0,113722.0,80771.0,194493.0,1182.0,1520.0,2702.0,6382.0,5074.0,11456.0,1088883.0,1099009.0,2187892.0
Kerala,2023-24,4252.0,8354.0,12606.0,8.0,42.0,50.0,52995.51523136595,126101.87347542352,179097.38870678947,415901.863451662,550444.6785776952,966346.5420293572,1073.0,2022.0,3095.0,55902.0,40569.0,96471.0,1528.0,1409.0,2937.0,6482.0,9763.0,16245.0,538142.3786830279,738705.5520531187,1276847.9307361466
Kerala,2022-23,2894.0,6082.0,8976.0,14.0,58.0,72.0,45041.84104248718,117816.4149951648,162858.256037652,401393.107899537,535121.1141293028,936514.2220288398,1333.0,2023.0,3356.0,54281.0,40081.0,94362.0,1999.0,1280.0,3279.0,5701.0,9181.0,14882.0,512656.9489420241,711642.5291244676,1224299.478066492
Kerala,2021-22,3387.0,5747.0,9134.0,75.0,281.0,356.0,50946.0,121630.0,172576.0,439560.0,576826.0,1016386.0,1284.0,1836.0,3120.0,53625.0,35512.0,89137.0,580.0,1032.0,1612.0,5115.0,7009.0,12124.0,554572.0,749873.0,1304445.0
Kerala,2020-21,3184.0,5554.0,8738.0,207.0,745.0,952.0,45876.0,120643.0,166519.0,454250.0,633728.0,1087978.0,1498.0,1621.0,3119.0,49106.0,33686.0,82792.0,1278.0,3429.0,4707.0,4226.0,5505.0,9731.0,559625.0,804911.0,1364536.0
Kerala,2019-20,2817.0,4687.0,7504.0,197.0,676.0,873.0,40871.0,97643.0,138514.0,393073.0,509484.0,902557.0,1269.0,1221.0,2490.0,41613.0,30834.0,72447.0,1308.0,4365.0,5673.0,3701.0,4094.0,7795.0,484849.0,653004.0,1137853.0
Ladakh,2023-24,,,,,,,149.0,271.0,420.0,1194.0,2162.999999999999,3356.999999999999,,,,274.0,521.0,795.0,111.0,82.0,193.0,,,,1728.0,3036.999999999999,4764.999999999999
Ladakh,2022-23,10.0,8.0,18.0,,,,129.0,284.0,413.0,1247.0,2185.0,3432.0,,,,247.0,412.0,659.0,24.0,132.0,156.0,,,,1657.0,3021.0,4678.0
